Anime_name,duration,members,Score,medium,count of episodes/movies
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,Oct 2018 - Jul 2019,"992,996",8.58,TV,39
Kizumonogatari II: Nekketsu-hen,Aug 2016 - Aug 2016,"435,462",8.57,Movie,1
Natsume Yuujinchou Go,Oct 2016 - Dec 2016,"182,033",8.57,TV,11
Natsume Yuujinchou San,Jul 2011 - Sep 2011,"248,564",8.57,TV,13
Ookami Kodomo no Ame to Yuki,Jul 2012 - Jul 2012,"799,854",8.57,Movie,1
Shouwa Genroku Rakugo Shinjuu,Jan 2016 - Apr 2016,"286,884",8.57,TV,13
Spy x Family,Apr 2022 - Jun 2022,"1,458,073",8.57,TV,12
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Apr 2009 - Apr 2009,"211,845",8.57,Movie,1
Yojouhan Shinwa Taikei,Apr 2010 - Jul 2010,"441,220",8.56,TV,11
Kage no Jitsuryokusha ni Naritakute! 2nd Season,Oct 2023 -,"243,704",8.56,TV,12
Fate/Zero 2nd Season,Apr 2012 - Jun 2012,"1,098,260",8.55,TV,12
Fruits Basket 2nd Season,Apr 2020 - Sep 2020,"491,897",8.55,TV,25
Haikyuu!! To the Top Part 2,Oct 2020 - Dec 2020,"786,308",8.55,TV,12
Slam Dunk,Oct 1993 - Mar 1996,"292,945",8.55,TV,101
Kimi no Suizou wo Tabetai,Sep 2018 - Sep 2018,"933,066",8.55,Movie,1
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Jul 1997 - Jul 1997,"909,848",8.55,Movie,1
Shoujo☆Kageki Revue Starlight Movie,Jun 2021 - Jun 2021,"18,018",8.55,Movie,1
Nana,Apr 2006 - Mar 2007,"643,490",8.54,TV,47
Perfect Blue,Feb 1998 - Feb 1998,"684,707",8.54,Movie,1
Shingeki no Kyojin,Apr 2013 - Sep 2013,"3,848,692",8.54,TV,25
Chainsaw Man,Oct 2022 - Dec 2022,"1,404,582",8.54,TV,12
Zoku Natsume Yuujinchou,Jan 2009 - Mar 2009,"244,429",8.54,TV,13
Fate/stay night Movie: Heaven's Feel - III. Spring Song,Aug 2020 - Aug 2020,"338,851",8.67,Movie,1
Hajime no Ippo: New Challenger,Jan 2009 - Jul 2009,"277,954",8.66,TV,26
Howl no Ugoku Shiro,Nov 2004 - Nov 2004,"1,297,612",8.66,Movie,1
Mushishi,Oct 2005 - Jun 2006,"812,472",8.66,TV,26
Made in Abyss,Jul 2017 - Sep 2017,"1,340,150",8.65,TV,13
Made in Abyss: Retsujitsu no Ougonkyou,Jul 2022 - Sep 2022,"416,829",8.65,TV,12
Shigatsu wa Kimi no Uso,Oct 2014 - Mar 2015,"2,162,856",8.65,TV,22
Natsume Yuujinchou Shi,Jan 2012 - Mar 2012,"241,211",8.64,TV,13
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,Apr 2020 - Jun 2020,"1,302,289",8.64,TV,12
Haikyuu!! Second Season,Oct 2015 - Mar 2016,"1,395,736",8.63,TV,25
Pluto,Oct 2023 - Oct 2023,"95,832",8.63,ONA,8
Tengen Toppa Gurren Lagann,Apr 2007 - Sep 2007,"1,581,221",8.63,TV,27
Death Note,Oct 2006 - Jun 2007,"3,810,327",8.62,TV,37
Jujutsu Kaisen,Oct 2020 - Mar 2021,"2,400,062",8.62,TV,24
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Jan 2020 - Jan 2020,"444,591",8.62,Movie,1
Natsume Yuujinchou Roku,Apr 2017 - Jun 2017,"182,369",8.62,TV,11
Ping Pong the Animation,Apr 2014 - Jun 2014,"384,874",8.62,TV,11
Shingeki no Kyojin Season 3,Jul 2018 - Oct 2018,"2,293,426",8.62,TV,12
Kimetsu no Yaiba Movie: Mugen Ressha-hen,Oct 2020 - Oct 2020,"1,476,430",8.6,Movie,1
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Jun 2019 - Jun 2019,"689,216",8.6,Movie,1
Shin Evangelion Movie: ||,Mar 2021 - Mar 2021,"363,214",8.6,Movie,1
Suzumiya Haruhi no Shoushitsu,Feb 2010 - Feb 2010,"600,437",8.6,Movie,1
Cyberpunk: Edgerunners,Sep 2022 - Sep 2022,"673,916",8.6,ONA,10
Hajime no Ippo: Rising,Oct 2013 - Mar 2014,"251,933",8.6,TV,25
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,Dec 2022 - Dec 2022,"179,113",8.59,ONA,14
Mushishi Zoku Shou: Suzu no Shizuku,May 2015 - May 2015,"126,092",8.59,Movie,1
Kenpuu Denki Berserk,Oct 1997 - Apr 1998,"635,679",8.58,TV,25
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,Oct 2018 - Jul 2019,"992,996",8.58,TV,39
Kizumonogatari II: Nekketsu-hen,Aug 2016 - Aug 2016,"435,462",8.57,Movie,1
Natsume Yuujinchou Go,Oct 2016 - Dec 2016,"182,033",8.57,TV,11
Natsume Yuujinchou San,Jul 2011 - Sep 2011,"248,564",8.57,TV,13
Ookami Kodomo no Ame to Yuki,Jul 2012 - Jul 2012,"799,854",8.57,Movie,1
Shouwa Genroku Rakugo Shinjuu,Jan 2016 - Apr 2016,"286,884",8.57,TV,13
Spy x Family,Apr 2022 - Jun 2022,"1,458,073",8.57,TV,12
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Apr 2009 - Apr 2009,"211,845",8.57,Movie,1
Yojouhan Shinwa Taikei,Apr 2010 - Jul 2010,"441,220",8.56,TV,11
Kage no Jitsuryokusha ni Naritakute! 2nd Season,Oct 2023 -,"243,704",8.56,TV,12
Fate/Zero 2nd Season,Apr 2012 - Jun 2012,"1,098,260",8.55,TV,12
Fruits Basket 2nd Season,Apr 2020 - Sep 2020,"491,897",8.55,TV,25
Haikyuu!! To the Top Part 2,Oct 2020 - Dec 2020,"786,308",8.55,TV,12
Slam Dunk,Oct 1993 - Mar 1996,"292,945",8.55,TV,101
Kimi no Suizou wo Tabetai,Sep 2018 - Sep 2018,"933,066",8.55,Movie,1
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Jul 1997 - Jul 1997,"909,848",8.55,Movie,1
Shoujo☆Kageki Revue Starlight Movie,Jun 2021 - Jun 2021,"18,018",8.55,Movie,1
Nana,Apr 2006 - Mar 2007,"643,490",8.54,TV,47
Perfect Blue,Feb 1998 - Feb 1998,"684,707",8.54,Movie,1
Shingeki no Kyojin,Apr 2013 - Sep 2013,"3,848,692",8.54,TV,25
Chainsaw Man,Oct 2022 - Dec 2022,"1,404,582",8.54,TV,12
Zoku Natsume Yuujinchou,Jan 2009 - Mar 2009,"244,429",8.54,TV,13
Steins;Gate 0,Apr 2018 - Sep 2018,"852,104",8.53,TV,23
Hajime no Ippo: New Challenger,Jan 2009 - Jul 2009,"277,954",8.66,TV,26
Howl no Ugoku Shiro,Nov 2004 - Nov 2004,"1,297,612",8.66,Movie,1
Mushishi,Oct 2005 - Jun 2006,"812,472",8.66,TV,26
Made in Abyss,Jul 2017 - Sep 2017,"1,340,150",8.65,TV,13
Made in Abyss: Retsujitsu no Ougonkyou,Jul 2022 - Sep 2022,"416,829",8.65,TV,12
Shigatsu wa Kimi no Uso,Oct 2014 - Mar 2015,"2,162,856",8.65,TV,22
Natsume Yuujinchou Shi,Jan 2012 - Mar 2012,"241,211",8.64,TV,13
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,Apr 2020 - Jun 2020,"1,302,289",8.64,TV,12
Haikyuu!! Second Season,Oct 2015 - Mar 2016,"1,395,736",8.63,TV,25
Pluto,Oct 2023 - Oct 2023,"95,832",8.63,ONA,8
Tengen Toppa Gurren Lagann,Apr 2007 - Sep 2007,"1,581,221",8.63,TV,27
Death Note,Oct 2006 - Jun 2007,"3,810,327",8.62,TV,37
Jujutsu Kaisen,Oct 2020 - Mar 2021,"2,400,062",8.62,TV,24
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Jan 2020 - Jan 2020,"444,591",8.62,Movie,1
Natsume Yuujinchou Roku,Apr 2017 - Jun 2017,"182,369",8.62,TV,11
Ping Pong the Animation,Apr 2014 - Jun 2014,"384,874",8.62,TV,11
Shingeki no Kyojin Season 3,Jul 2018 - Oct 2018,"2,293,426",8.62,TV,12
Kimetsu no Yaiba Movie: Mugen Ressha-hen,Oct 2020 - Oct 2020,"1,476,430",8.6,Movie,1
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Jun 2019 - Jun 2019,"689,216",8.6,Movie,1
Shin Evangelion Movie: ||,Mar 2021 - Mar 2021,"363,214",8.6,Movie,1
Suzumiya Haruhi no Shoushitsu,Feb 2010 - Feb 2010,"600,437",8.6,Movie,1
Cyberpunk: Edgerunners,Sep 2022 - Sep 2022,"673,916",8.6,ONA,10
Hajime no Ippo: Rising,Oct 2013 - Mar 2014,"251,933",8.6,TV,25
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,Dec 2022 - Dec 2022,"179,113",8.59,ONA,14
Mushishi Zoku Shou: Suzu no Shizuku,May 2015 - May 2015,"126,092",8.59,Movie,1
Kenpuu Denki Berserk,Oct 1997 - Apr 1998,"635,679",8.58,TV,25
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,Oct 2018 - Jul 2019,"992,996",8.58,TV,39
Kizumonogatari II: Nekketsu-hen,Aug 2016 - Aug 2016,"435,462",8.57,Movie,1
Natsume Yuujinchou Go,Oct 2016 - Dec 2016,"182,033",8.57,TV,11
Natsume Yuujinchou San,Jul 2011 - Sep 2011,"248,564",8.57,TV,13
Ookami Kodomo no Ame to Yuki,Jul 2012 - Jul 2012,"799,854",8.57,Movie,1
Shouwa Genroku Rakugo Shinjuu,Jan 2016 - Apr 2016,"286,884",8.57,TV,13
Spy x Family,Apr 2022 - Jun 2022,"1,458,073",8.57,TV,12
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Apr 2009 - Apr 2009,"211,845",8.57,Movie,1
Yojouhan Shinwa Taikei,Apr 2010 - Jul 2010,"441,220",8.56,TV,11
Kage no Jitsuryokusha ni Naritakute! 2nd Season,Oct 2023 -,"243,704",8.56,TV,12
Fate/Zero 2nd Season,Apr 2012 - Jun 2012,"1,098,260",8.55,TV,12
Fruits Basket 2nd Season,Apr 2020 - Sep 2020,"491,897",8.55,TV,25
Haikyuu!! To the Top Part 2,Oct 2020 - Dec 2020,"786,308",8.55,TV,12
Slam Dunk,Oct 1993 - Mar 1996,"292,945",8.55,TV,101
Kimi no Suizou wo Tabetai,Sep 2018 - Sep 2018,"933,066",8.55,Movie,1
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Jul 1997 - Jul 1997,"909,848",8.55,Movie,1
Shoujo☆Kageki Revue Starlight Movie,Jun 2021 - Jun 2021,"18,018",8.55,Movie,1
Nana,Apr 2006 - Mar 2007,"643,490",8.54,TV,47
Perfect Blue,Feb 1998 - Feb 1998,"684,707",8.54,Movie,1
Shingeki no Kyojin,Apr 2013 - Sep 2013,"3,848,692",8.54,TV,25
Chainsaw Man,Oct 2022 - Dec 2022,"1,404,582",8.54,TV,12
Zoku Natsume Yuujinchou,Jan 2009 - Mar 2009,"244,429",8.54,TV,13
Steins;Gate 0,Apr 2018 - Sep 2018,"852,104",8.53,TV,23
Yuru Camp△ Season 2,Jan 2021 - Apr 2021,"214,306",8.53,TV,13
Howl no Ugoku Shiro,Nov 2004 - Nov 2004,"1,297,612",8.66,Movie,1
Mushishi,Oct 2005 - Jun 2006,"812,472",8.66,TV,26
Made in Abyss,Jul 2017 - Sep 2017,"1,340,150",8.65,TV,13
Made in Abyss: Retsujitsu no Ougonkyou,Jul 2022 - Sep 2022,"416,829",8.65,TV,12
Shigatsu wa Kimi no Uso,Oct 2014 - Mar 2015,"2,162,856",8.65,TV,22
Natsume Yuujinchou Shi,Jan 2012 - Mar 2012,"241,211",8.64,TV,13
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,Apr 2020 - Jun 2020,"1,302,289",8.64,TV,12
Haikyuu!! Second Season,Oct 2015 - Mar 2016,"1,395,736",8.63,TV,25
Pluto,Oct 2023 - Oct 2023,"95,832",8.63,ONA,8
Tengen Toppa Gurren Lagann,Apr 2007 - Sep 2007,"1,581,221",8.63,TV,27
Death Note,Oct 2006 - Jun 2007,"3,810,327",8.62,TV,37
Jujutsu Kaisen,Oct 2020 - Mar 2021,"2,400,062",8.62,TV,24
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Jan 2020 - Jan 2020,"444,591",8.62,Movie,1
Natsume Yuujinchou Roku,Apr 2017 - Jun 2017,"182,369",8.62,TV,11
Ping Pong the Animation,Apr 2014 - Jun 2014,"384,874",8.62,TV,11
Shingeki no Kyojin Season 3,Jul 2018 - Oct 2018,"2,293,426",8.62,TV,12
Kimetsu no Yaiba Movie: Mugen Ressha-hen,Oct 2020 - Oct 2020,"1,476,430",8.6,Movie,1
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Jun 2019 - Jun 2019,"689,216",8.6,Movie,1
Shin Evangelion Movie: ||,Mar 2021 - Mar 2021,"363,214",8.6,Movie,1
Suzumiya Haruhi no Shoushitsu,Feb 2010 - Feb 2010,"600,437",8.6,Movie,1
Cyberpunk: Edgerunners,Sep 2022 - Sep 2022,"673,916",8.6,ONA,10
Hajime no Ippo: Rising,Oct 2013 - Mar 2014,"251,933",8.6,TV,25
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,Dec 2022 - Dec 2022,"179,113",8.59,ONA,14
Mushishi Zoku Shou: Suzu no Shizuku,May 2015 - May 2015,"126,092",8.59,Movie,1
Kenpuu Denki Berserk,Oct 1997 - Apr 1998,"635,679",8.58,TV,25
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,Oct 2018 - Jul 2019,"992,996",8.58,TV,39
Kizumonogatari II: Nekketsu-hen,Aug 2016 - Aug 2016,"435,462",8.57,Movie,1
Natsume Yuujinchou Go,Oct 2016 - Dec 2016,"182,033",8.57,TV,11
Natsume Yuujinchou San,Jul 2011 - Sep 2011,"248,564",8.57,TV,13
Ookami Kodomo no Ame to Yuki,Jul 2012 - Jul 2012,"799,854",8.57,Movie,1
Shouwa Genroku Rakugo Shinjuu,Jan 2016 - Apr 2016,"286,884",8.57,TV,13
Spy x Family,Apr 2022 - Jun 2022,"1,458,073",8.57,TV,12
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Apr 2009 - Apr 2009,"211,845",8.57,Movie,1
Yojouhan Shinwa Taikei,Apr 2010 - Jul 2010,"441,220",8.56,TV,11
Kage no Jitsuryokusha ni Naritakute! 2nd Season,Oct 2023 -,"243,704",8.56,TV,12
Fate/Zero 2nd Season,Apr 2012 - Jun 2012,"1,098,260",8.55,TV,12
Fruits Basket 2nd Season,Apr 2020 - Sep 2020,"491,897",8.55,TV,25
Haikyuu!! To the Top Part 2,Oct 2020 - Dec 2020,"786,308",8.55,TV,12
Slam Dunk,Oct 1993 - Mar 1996,"292,945",8.55,TV,101
Kimi no Suizou wo Tabetai,Sep 2018 - Sep 2018,"933,066",8.55,Movie,1
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Jul 1997 - Jul 1997,"909,848",8.55,Movie,1
Shoujo☆Kageki Revue Starlight Movie,Jun 2021 - Jun 2021,"18,018",8.55,Movie,1
Nana,Apr 2006 - Mar 2007,"643,490",8.54,TV,47
Perfect Blue,Feb 1998 - Feb 1998,"684,707",8.54,Movie,1
Shingeki no Kyojin,Apr 2013 - Sep 2013,"3,848,692",8.54,TV,25
Chainsaw Man,Oct 2022 - Dec 2022,"1,404,582",8.54,TV,12
Zoku Natsume Yuujinchou,Jan 2009 - Mar 2009,"244,429",8.54,TV,13
Steins;Gate 0,Apr 2018 - Sep 2018,"852,104",8.53,TV,23
Yuru Camp△ Season 2,Jan 2021 - Apr 2021,"214,306",8.53,TV,13
Mushishi: Hihamukage,Jan 2014 - Jan 2014,"136,734",8.53,Special,1
Mushishi,Oct 2005 - Jun 2006,"812,472",8.66,TV,26
Made in Abyss,Jul 2017 - Sep 2017,"1,340,150",8.65,TV,13
Made in Abyss: Retsujitsu no Ougonkyou,Jul 2022 - Sep 2022,"416,829",8.65,TV,12
Shigatsu wa Kimi no Uso,Oct 2014 - Mar 2015,"2,162,856",8.65,TV,22
Natsume Yuujinchou Shi,Jan 2012 - Mar 2012,"241,211",8.64,TV,13
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,Apr 2020 - Jun 2020,"1,302,289",8.64,TV,12
Haikyuu!! Second Season,Oct 2015 - Mar 2016,"1,395,736",8.63,TV,25
Pluto,Oct 2023 - Oct 2023,"95,832",8.63,ONA,8
Tengen Toppa Gurren Lagann,Apr 2007 - Sep 2007,"1,581,221",8.63,TV,27
Death Note,Oct 2006 - Jun 2007,"3,810,327",8.62,TV,37
Jujutsu Kaisen,Oct 2020 - Mar 2021,"2,400,062",8.62,TV,24
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Jan 2020 - Jan 2020,"444,591",8.62,Movie,1
Natsume Yuujinchou Roku,Apr 2017 - Jun 2017,"182,369",8.62,TV,11
Ping Pong the Animation,Apr 2014 - Jun 2014,"384,874",8.62,TV,11
Shingeki no Kyojin Season 3,Jul 2018 - Oct 2018,"2,293,426",8.62,TV,12
Kimetsu no Yaiba Movie: Mugen Ressha-hen,Oct 2020 - Oct 2020,"1,476,430",8.6,Movie,1
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Jun 2019 - Jun 2019,"689,216",8.6,Movie,1
Shin Evangelion Movie: ||,Mar 2021 - Mar 2021,"363,214",8.6,Movie,1
Suzumiya Haruhi no Shoushitsu,Feb 2010 - Feb 2010,"600,437",8.6,Movie,1
Cyberpunk: Edgerunners,Sep 2022 - Sep 2022,"673,916",8.6,ONA,10
Hajime no Ippo: Rising,Oct 2013 - Mar 2014,"251,933",8.6,TV,25
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,Dec 2022 - Dec 2022,"179,113",8.59,ONA,14
Mushishi Zoku Shou: Suzu no Shizuku,May 2015 - May 2015,"126,092",8.59,Movie,1
Kenpuu Denki Berserk,Oct 1997 - Apr 1998,"635,679",8.58,TV,25
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,Oct 2018 - Jul 2019,"992,996",8.58,TV,39
Kizumonogatari II: Nekketsu-hen,Aug 2016 - Aug 2016,"435,462",8.57,Movie,1
Natsume Yuujinchou Go,Oct 2016 - Dec 2016,"182,033",8.57,TV,11
Natsume Yuujinchou San,Jul 2011 - Sep 2011,"248,564",8.57,TV,13
Ookami Kodomo no Ame to Yuki,Jul 2012 - Jul 2012,"799,854",8.57,Movie,1
Shouwa Genroku Rakugo Shinjuu,Jan 2016 - Apr 2016,"286,884",8.57,TV,13
Spy x Family,Apr 2022 - Jun 2022,"1,458,073",8.57,TV,12
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Apr 2009 - Apr 2009,"211,845",8.57,Movie,1
Yojouhan Shinwa Taikei,Apr 2010 - Jul 2010,"441,220",8.56,TV,11
Kage no Jitsuryokusha ni Naritakute! 2nd Season,Oct 2023 -,"243,704",8.56,TV,12
Fate/Zero 2nd Season,Apr 2012 - Jun 2012,"1,098,260",8.55,TV,12
Fruits Basket 2nd Season,Apr 2020 - Sep 2020,"491,897",8.55,TV,25
Haikyuu!! To the Top Part 2,Oct 2020 - Dec 2020,"786,308",8.55,TV,12
Slam Dunk,Oct 1993 - Mar 1996,"292,945",8.55,TV,101
Kimi no Suizou wo Tabetai,Sep 2018 - Sep 2018,"933,066",8.55,Movie,1
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Jul 1997 - Jul 1997,"909,848",8.55,Movie,1
Shoujo☆Kageki Revue Starlight Movie,Jun 2021 - Jun 2021,"18,018",8.55,Movie,1
Nana,Apr 2006 - Mar 2007,"643,490",8.54,TV,47
Perfect Blue,Feb 1998 - Feb 1998,"684,707",8.54,Movie,1
Shingeki no Kyojin,Apr 2013 - Sep 2013,"3,848,692",8.54,TV,25
Chainsaw Man,Oct 2022 - Dec 2022,"1,404,582",8.54,TV,12
Zoku Natsume Yuujinchou,Jan 2009 - Mar 2009,"244,429",8.54,TV,13
Steins;Gate 0,Apr 2018 - Sep 2018,"852,104",8.53,TV,23
Yuru Camp△ Season 2,Jan 2021 - Apr 2021,"214,306",8.53,TV,13
Mushishi: Hihamukage,Jan 2014 - Jan 2014,"136,734",8.53,Special,1
Ousama Ranking,Oct 2021 - Mar 2022,"612,772",8.53,TV,23
Made in Abyss,Jul 2017 - Sep 2017,"1,340,150",8.65,TV,13
Made in Abyss: Retsujitsu no Ougonkyou,Jul 2022 - Sep 2022,"416,829",8.65,TV,12
Shigatsu wa Kimi no Uso,Oct 2014 - Mar 2015,"2,162,856",8.65,TV,22
Natsume Yuujinchou Shi,Jan 2012 - Mar 2012,"241,211",8.64,TV,13
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,Apr 2020 - Jun 2020,"1,302,289",8.64,TV,12
Haikyuu!! Second Season,Oct 2015 - Mar 2016,"1,395,640",8.63,TV,25
Pluto,Oct 2023 - Oct 2023,"95,818",8.63,ONA,8
Tengen Toppa Gurren Lagann,Apr 2007 - Sep 2007,"1,581,221",8.63,TV,27
Death Note,Oct 2006 - Jun 2007,"3,810,327",8.62,TV,37
Jujutsu Kaisen,Oct 2020 - Mar 2021,"2,400,062",8.62,TV,24
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Jan 2020 - Jan 2020,"444,591",8.62,Movie,1
Natsume Yuujinchou Roku,Apr 2017 - Jun 2017,"182,369",8.62,TV,11
Ping Pong the Animation,Apr 2014 - Jun 2014,"384,874",8.62,TV,11
Shingeki no Kyojin Season 3,Jul 2018 - Oct 2018,"2,293,426",8.62,TV,12
Kimetsu no Yaiba Movie: Mugen Ressha-hen,Oct 2020 - Oct 2020,"1,476,430",8.6,Movie,1
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Jun 2019 - Jun 2019,"689,216",8.6,Movie,1
Shin Evangelion Movie: ||,Mar 2021 - Mar 2021,"363,214",8.6,Movie,1
Suzumiya Haruhi no Shoushitsu,Feb 2010 - Feb 2010,"600,437",8.6,Movie,1
Cyberpunk: Edgerunners,Sep 2022 - Sep 2022,"673,916",8.6,ONA,10
Hajime no Ippo: Rising,Oct 2013 - Mar 2014,"251,933",8.6,TV,25
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,Dec 2022 - Dec 2022,"179,113",8.59,ONA,14
Mushishi Zoku Shou: Suzu no Shizuku,May 2015 - May 2015,"126,086",8.59,Movie,1
Kenpuu Denki Berserk,Oct 1997 - Apr 1998,"635,679",8.58,TV,25
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,Oct 2018 - Jul 2019,"992,996",8.58,TV,39
Kizumonogatari II: Nekketsu-hen,Aug 2016 - Aug 2016,"435,431",8.57,Movie,1
Natsume Yuujinchou Go,Oct 2016 - Dec 2016,"182,033",8.57,TV,11
Natsume Yuujinchou San,Jul 2011 - Sep 2011,"248,564",8.57,TV,13
Ookami Kodomo no Ame to Yuki,Jul 2012 - Jul 2012,"799,854",8.57,Movie,1
Shouwa Genroku Rakugo Shinjuu,Jan 2016 - Apr 2016,"286,868",8.57,TV,13
Spy x Family,Apr 2022 - Jun 2022,"1,458,073",8.57,TV,12
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Apr 2009 - Apr 2009,"211,845",8.57,Movie,1
Yojouhan Shinwa Taikei,Apr 2010 - Jul 2010,"441,220",8.56,TV,11
Kage no Jitsuryokusha ni Naritakute! 2nd Season,Oct 2023 -,"243,685",8.56,TV,12
Fate/Zero 2nd Season,Apr 2012 - Jun 2012,"1,098,260",8.55,TV,12
Fruits Basket 2nd Season,Apr 2020 - Sep 2020,"491,897",8.55,TV,25
Haikyuu!! To the Top Part 2,Oct 2020 - Dec 2020,"786,308",8.55,TV,12
Slam Dunk,Oct 1993 - Mar 1996,"292,945",8.55,TV,101
Kimi no Suizou wo Tabetai,Sep 2018 - Sep 2018,"933,066",8.55,Movie,1
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Jul 1997 - Jul 1997,"909,848",8.55,Movie,1
Shoujo☆Kageki Revue Starlight Movie,Jun 2021 - Jun 2021,"18,018",8.55,Movie,1
Nana,Apr 2006 - Mar 2007,"643,490",8.54,TV,47
Perfect Blue,Feb 1998 - Feb 1998,"684,707",8.54,Movie,1
Shingeki no Kyojin,Apr 2013 - Sep 2013,"3,848,692",8.54,TV,25
Chainsaw Man,Oct 2022 - Dec 2022,"1,404,582",8.54,TV,12
Zoku Natsume Yuujinchou,Jan 2009 - Mar 2009,"244,429",8.54,TV,13
Steins;Gate 0,Apr 2018 - Sep 2018,"852,044",8.53,TV,23
Yuru Camp△ Season 2,Jan 2021 - Apr 2021,"214,306",8.53,TV,13
Mushishi: Hihamukage,Jan 2014 - Jan 2014,"136,734",8.53,Special,1
Ousama Ranking,Oct 2021 - Mar 2022,"612,772",8.53,TV,23
Bakuman. 3rd Season,Oct 2012 - Mar 2013,"326,038",8.53,TV,25
Made in Abyss: Retsujitsu no Ougonkyou,Jul 2022 - Sep 2022,"416,829",8.65,TV,12
Shigatsu wa Kimi no Uso,Oct 2014 - Mar 2015,"2,162,856",8.65,TV,22
Natsume Yuujinchou Shi,Jan 2012 - Mar 2012,"241,211",8.64,TV,13
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,Apr 2020 - Jun 2020,"1,302,289",8.64,TV,12
Haikyuu!! Second Season,Oct 2015 - Mar 2016,"1,395,736",8.63,TV,25
Pluto,Oct 2023 - Oct 2023,"95,832",8.63,ONA,8
Tengen Toppa Gurren Lagann,Apr 2007 - Sep 2007,"1,581,221",8.63,TV,27
Death Note,Oct 2006 - Jun 2007,"3,810,327",8.62,TV,37
Jujutsu Kaisen,Oct 2020 - Mar 2021,"2,400,062",8.62,TV,24
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Jan 2020 - Jan 2020,"444,591",8.62,Movie,1
Natsume Yuujinchou Roku,Apr 2017 - Jun 2017,"182,369",8.62,TV,11
Ping Pong the Animation,Apr 2014 - Jun 2014,"384,874",8.62,TV,11
Shingeki no Kyojin Season 3,Jul 2018 - Oct 2018,"2,293,426",8.62,TV,12
Kimetsu no Yaiba Movie: Mugen Ressha-hen,Oct 2020 - Oct 2020,"1,476,430",8.6,Movie,1
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Jun 2019 - Jun 2019,"689,216",8.6,Movie,1
Shin Evangelion Movie: ||,Mar 2021 - Mar 2021,"363,214",8.6,Movie,1
Suzumiya Haruhi no Shoushitsu,Feb 2010 - Feb 2010,"600,437",8.6,Movie,1
Cyberpunk: Edgerunners,Sep 2022 - Sep 2022,"673,916",8.6,ONA,10
Hajime no Ippo: Rising,Oct 2013 - Mar 2014,"251,933",8.6,TV,25
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,Dec 2022 - Dec 2022,"179,113",8.59,ONA,14
Mushishi Zoku Shou: Suzu no Shizuku,May 2015 - May 2015,"126,092",8.59,Movie,1
Kenpuu Denki Berserk,Oct 1997 - Apr 1998,"635,679",8.58,TV,25
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,Oct 2018 - Jul 2019,"992,996",8.58,TV,39
Kizumonogatari II: Nekketsu-hen,Aug 2016 - Aug 2016,"435,462",8.57,Movie,1
Natsume Yuujinchou Go,Oct 2016 - Dec 2016,"182,033",8.57,TV,11
Natsume Yuujinchou San,Jul 2011 - Sep 2011,"248,564",8.57,TV,13
